rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Date ,Latitude,Longitude
281,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"23,600,000","7,920,637,200",Film & Animation,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"1,251",United Kingdom,GB,Film,668,12,19,"53,589,000","$13,400.00 ","$214,400.00 ","$160,800.00 ","$2,600,000.00 ","100,000",28-Jul-14,55.378051,-3.435973
282,Jelly,"23,500,000","14,777,034,543",Gaming,Jelly,"6,066",United Kingdom,GB,Games,229,13,20,"41,669,000","$10,400.00 ","$166,700.00 ","$125,000.00 ","$2,000,000.00 ",0,27-May-14,55.378051,-3.435973
283,Miss Katy,"23,500,000","14,696,994,366",People & Blogs,Miss Katy,"1,044",United Kingdom,GB,Entertainment,235,13,76,"59,629,000","$14,900.00 ","$238,500.00 ","$178,900.00 ","$2,900,000.00 ",0,17-Nov-14,55.378051,-3.435973
284,Tilak,"23,400,000","9,465,863,821",Film & Animation,Tilak,"6,672",India,IN,Film,493,56,20,"367,347,000","$91,800.00 ","$1,500,000.00 ","$1,100,000.00 ","$17,600,000.00 ","900,000",10-Oct-20,20.593684,78.96288
285,Valentina Pontes ofc,"23,400,000","7,926,899,136",Film & Animation,Valentina Pontes ofc,"1,291",Brazil,BR,Entertainment,667,14,77,"28,285,000","$7,100.00 ","$113,100.00 ","$84,900.00 ","$1,400,000.00 ",0,14-Apr-14,-14.235004,-51.92528
286,Sesame Street,"23,300,000","22,471,357,411",Entertainment,Sesame Street,"3,657",United States,US,Entertainment,99,83,78,"124,187,000","$31,000.00 ","$496,700.00 ","$372,600.00 ","$6,000,000.00 ","100,000",16-Jan-06,37.09024,-95.712891
287,Happy Lives,"23,200,000","2,634",Science & Technology,Happy Lives,1,United States,US,Entertainment,"4,053,372",84,79,"6,589,000,000",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"100,000",15-Mar-16,37.09024,-95.712891
288,Lady Gaga,"23,200,000","15,751,661,213",People & Blogs,Lady Gaga,172,United States,US,Music,198,83,79,"143,169,000","$35,800.00 ","$572,700.00 ","$429,500.00 ","$6,900,000.00 ","100,000",15-May-08,37.09024,-95.712891
289,Akshay Nagwadiya,"23,200,000","7,966,720,147",Entertainment,Akshay Nagwadiya,595,NA,NA,Entertainment,660,NA,79,"321,179,000","$80,300.00 ","$1,300,000.00 ","$963,500.00 ","$15,400,000.00 ","900,000",25-Oct-17,nan,nan
290,Wave Music Bhojpuri,"23,100,000","12,889,240,875",Music,Wave Music Bhojpuri,"22,578",India,IN,Music,293,59,81,"52,678,000","$13,200.00 ","$210,700.00 ","$158,000.00 ","$2,500,000.00 ","100,000",10-Aug-14,20.593684,78.96288
291,GMM GRAMMY OFFICIAL,"23,100,000","25,579,831,081",Music,GMM GRAMMY OFFICIAL,"15,462",Thailand,TH,Music,68,4,81,"130,233,000","$32,600.00 ","$520,900.00 ","$390,700.00 ","$6,300,000.00 ",0,8-Nov-10,15.870032,100.992541
292,TED,"23,100,000","2,551,113,422",People & Blogs,TED,"4,445",United States,US,Tech,"3,568",85,4,"13,246,000","$3,300.00 ","$53,000.00 ","$39,700.00 ","$635,800.00 ","100,000",6-Dec-06,37.09024,-95.712891
293,unknown boy varun,"23,100,000","9,299,371,231",Music,unknown boy varun,456,India,IN,Music,506,58,80,"304,021,000","$76,000.00 ","$1,200,000.00 ","$912,100.00 ","$14,600,000.00 ","700,000",27-Sep-16,20.593684,78.96288
294,Kids TV - Nursery Rhymes And Baby Songs,"23,100,000","13,151,870,846",Shows,Kids TV - Nursery Rhymes And Baby Songs,"3,781",United States,US,Music,282,85,81,"128,448,000","$32,100.00 ","$513,800.00 ","$385,300.00 ","$6,200,000.00 ","700,000",30-Aug-13,37.09024,-95.712891
295,Tsuriki Show,"23,000,000","31,494,513,067",Entertainment,Tsuriki Show,"2,905",Germany,DE,Comedy,34,1,15,"756,717,000","$189,200.00 ","$3,000,000.00 ","$2,300,000.00 ","$36,300,000.00 ","800,000",10-Jul-19,51.165691,10.451526
296,Technical Guruji,"23,000,000","3,378,047,383",Science & Technology,Technical Guruji,"5,041",India,IN,Tech,"2,420",60,5,"22,262,000","$5,600.00 ","$89,000.00 ","$66,800.00 ","$1,100,000.00 ",0,19-Oct-15,20.593684,78.96288
297,DrossRotzank,"23,000,000","6,041,264,489",Entertainment,DrossRotzank,"1,598",Argentina,AR,Entertainment,"1,040",5,80,"35,539,000","$8,900.00 ","$142,200.00 ","$106,600.00 ","$1,700,000.00 ","100,000",9-Mar-06,-38.416097,-63.616672
298,White Hill Music,"23,000,000","10,939,966,484",Entertainment,White Hill Music,"5,718",India,IN,Music,382,60,82,"93,183,000","$23,300.00 ","$372,700.00 ","$279,500.00 ","$4,500,000.00 ","100,000",23-Mar-14,20.593684,78.96288
299,Ultra Movie Parlour,"22,900,000","5,320,485,069",Movies,Ultra Movie Parlour,"1,670",India,IN,Film,"1,248",61,22,"118,846,000",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"300,000",17-May-11,20.593684,78.96288
300,Alan Becker,"22,900,000","5,380,073,627",Film & Animation,Alan Becker,0,United States,US,Games,"4,057,944","7,700","7,453",NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1,21-Mar-06,37.09024,-95.712891
301,toyorbabytv,"22,900,000","16,298,342,829",Music,toyorbabytv,"1,159",Jordan,JO,Music,181,2,83,"169,056,000","$42,300.00 ","$676,200.00 ","$507,200.00 ","$8,100,000.00 ","300,000",1-Nov-12,30.585164,36.238414
